lat,lon
-33.806223,-70.742505
-33.810445,-70.743714
-33.807474,-70.742751
-33.808058,-70.743031
-33.807085,-70.742691
-33.80812,-70.742654
-33.807243,-70.742715
-33.807696,-70.742784
-33.808337,-70.743091
-33.80786,-70.74277
-33.808367,-70.742713
-33.81322,-70.743787
-33.813465,-70.744527
-33.813474,-70.744415
-33.813486,-70.744301
-33.813498,-70.744174
-33.813346,-70.744327
-33.813264,-70.744313
-33.813179,-70.744302
-33.813091,-70.74429
-33.813001,-70.744274
-33.812905,-70.744263
-33.812808,-70.744249
-33.812718,-70.744239
-33.812611,-70.744225
-33.812381,-70.744239
-33.817035,-70.744715
-33.814317,-70.744266
-33.814962,-70.744627
-33.815088,-70.744644
-33.815208,-70.744663
-33.81532,-70.74468
-33.815416,-70.744695
-33.815578,-70.744626
-33.815563,-70.744791
-33.815969,-70.744683
-33.815954,-70.744853
-33.816119,-70.744801
-33.816269,-70.744824
-33.816416,-70.744846
-33.816523,-70.744862
-33.816622,-70.744877
-33.817179,-70.744976
-33.817629,-70.744578
-33.817825,-70.744605
-33.817992,-70.744631
-33.818165,-70.744657
-33.818344,-70.744684
-33.818515,-70.74471
-33.818692,-70.744736
-33.81888,-70.744761
-33.819083,-70.744787
-33.819276,-70.744818
-33.817597,-70.744983
-33.817791,-70.745012
-33.817958,-70.745038
-33.818133,-70.745064
-33.818313,-70.745091
-33.818486,-70.745117
-33.818667,-70.745145
-33.818856,-70.745169
-33.819042,-70.745195
-33.819234,-70.745201
-33.821962,-70.745087
-33.819541,-70.744768
-33.819554,-70.744415
-33.819808,-70.74457
-33.819979,-70.744587
-33.820121,-70.74461
-33.820263,-70.744631
-33.820413,-70.74465
-33.820561,-70.744672
-33.820687,-70.744688
-33.820798,-70.744709
-33.820916,-70.744728
-33.821055,-70.744769
-33.813069,-70.747482
-33.813048,-70.747661
-33.812877,-70.747537
-33.812749,-70.747515
-33.812629,-70.747498
-33.812474,-70.747473
-33.812481,-70.747762
-33.812456,-70.747958
-33.812099,-70.747517
-33.812077,-70.7477
-33.812055,-70.747886
-33.811825,-70.747471
-33.811803,-70.747652
-33.811781,-70.747836
-33.811472,-70.747178
-33.811449,-70.747389
-33.811426,-70.747592
-33.811406,-70.747778
-33.812874,-70.747924
-33.812057,-70.748822
-33.813066,-70.746679
-33.813064,-70.746535
-33.813087,-70.745502
-33.813154,-70.744985
-33.812714,-70.745081
-33.81253,-70.74506
-33.812174,-70.745128
-33.811271,-70.747387
-33.813115,-70.746362
-33.813059,-70.746783
-33.813105,-70.746958
-33.813082,-70.747171
-33.812883,-70.747014
-33.812772,-70.746996
-33.812659,-70.746977
-33.81252,-70.746953
-33.81239,-70.746932
-33.812266,-70.74691
-33.812135,-70.746887
-33.811989,-70.746862
-33.811847,-70.746836
-33.811708,-70.746814
-33.811571,-70.746791
-33.811412,-70.746763
-33.815023,-70.74593
-33.815535,-70.746076
-33.815787,-70.746975
-33.813918,-70.745406
-33.813865,-70.7458
-33.813848,-70.745917
-33.813891,-70.746054
-33.813817,-70.746234
-33.8138,-70.746401
-33.813773,-70.746617
-33.813628,-70.747047
-33.813993,-70.7492
-33.815805,-70.746827
-33.815831,-70.746598
-33.815845,-70.746468
-33.815863,-70.746309
-33.81588,-70.746155
-33.815897,-70.74601
-33.815914,-70.745851
-33.815931,-70.745699
-33.815947,-70.745551
-33.815966,-70.74538
-33.815926,-70.745167
-33.816366,-70.745261
-33.816234,-70.745238
-33.81605,-70.745185
-33.816113,-70.747031
-33.816133,-70.746866
-33.816151,-70.746693
-33.816173,-70.746522
-33.816192,-70.74636
-33.81621,-70.746212
-33.816227,-70.746059
-33.816244,-70.745902
-33.816262,-70.745745
-33.816277,-70.745604
-33.813672,-70.746088
-33.816212,-70.750042
-33.816358,-70.750066
-33.816502,-70.750092
-33.816691,-70.750197
-33.816874,-70.750228
-33.816961,-70.750244
-33.816809,-70.749938
-33.816615,-70.749777
-33.816631,-70.749553
-33.816635,-70.749454
-33.816656,-70.749345
-33.816668,-70.749179
-33.816689,-70.748964
-33.816718,-70.748752
-33.816724,-70.748592
-33.81674,-70.748485
-33.816745,-70.748379
-33.816761,-70.748277
-33.816773,-70.748168
-33.816785,-70.748061
-33.816794,-70.747956
-33.816815,-70.747847
-33.816822,-70.747738
-33.816837,-70.74758
-33.816857,-70.747423
-33.816869,-70.747298
-33.813921,-70.745259
-33.8139,-70.745537
-33.813876,-70.745671
-33.81629,-70.745464
-33.813652,-70.746838
-33.816444,-70.746255
-33.81655,-70.745255
-33.816785,-70.745717
-33.816764,-70.745912
-33.816466,-70.746053
-33.816702,-70.7465
-33.816679,-70.746705
-33.816377,-70.746864
-33.81683,-70.745289
-33.816667,-70.746894
-33.816807,-70.745507
-33.816486,-70.745862
